Expected constant (n/10): 24786.9

Rank	Word	Frequency	Rank*Frequency
699	brother	43	30057
700	neighbours	43	30100
701	mitra	43	30143
702	plant	43	30186
703	recently	43	30229
704	session	43	30272
705	instead	42	29610
706	tonight	42	29652
707	tracks	42	29694
708	show	42	29736
709	reports	42	29778
710	having	42	29820
711	outside	42	29862
712	attend	42	29904
713	use	42	29946
714	name	42	29988
715	joint	42	30030
716	involved	42	30072
717	trade	42	30114
718	jharkhand	42	30156
719	pollution	42	30198
720	traffic	42	30240
721	often	42	30282
722	plot	42	30324
723	nearly	42	30366
724	intelligence	42	30408
725	able	42	30450
726	allegations	42	30492
727	patient	42	30534
728	haldia	41	29848
729	say	41	29889
730	peoples	41	29930
731	defence	41	29971
732	august	41	30012
733	getting	41	30053
734	mobile	41	30094
735	industries	41	30135
736	complex	41	30176
737	dum	41	30217
738	recent	41	30258
739	managing	41	30299
740	pressure	41	30340
741	universities	41	30381
742	port	40	29680
743	hand	40	29720
744	interest	40	29760
745	passed	40	29800
746	naxalite	40	29840
747	meetings	40	29880
748	ready	40	29920
749	sinha	40	29960
750	demand	40	30000
751	pointed	40	30040
752	prasad	40	30080
753	become	40	30120
754	jobs	40	30160
755	custody	40	30200
756	pinki	40	30240
757	difficult	40	30280
758	illegal	40	30320
759	plots	40	30360
760	amount	39	29640
761	stay	39	29679
762	reached	39	29718
763	pradip	39	29757
764	constable	39	29796
765	shot	39	29835
766	jyoti	39	29874
767	market	39	29913
768	management	39	29952
769	list	39	29991
770	centres	39	30030
771	ward	39	30069
772	rally	39	30108
773	price	39	30147
774	likely	39	30186
775	submitted	39	30225
776	tourism	39	30264
777	gupta	38	29526
778	injuries	38	29564
779	best	38	29602
780	municipal	38	29640
781	electricity	38	29678
782	killing	38	29716
783	mp	38	29754
784	shyamal	38	29792
785	executive	38	29830
786	bar	38	29868
787	facilities	38	29906
788	person	38	29944
789	selection	38	29982
790	relatives	38	30020
791	far	38	30058
792	care	38	30096
793	examinations	38	30134
794	separate	38	30172
795	beaten	38	30210
