Expected constant (n/10): 11352.3

Rank	Word	Frequency	Rank*Frequency
332	১৭০	65	21580
333	পেতে	65	21645
334	এড়িয়ে	65	21710
335	পোখরাজ	65	21775
336	চিন্তা	65	21840
337	সরকারের	65	21905
338	শ্যামাপ্রসাদ	65	21970
339	শিম	64	21696
340	পেঁয়াজকলি	64	21760
341	চলুন	64	21824
342	তাহার	64	21888
343	দিতে	64	21952
344	রোডে	64	22016
345	লইয়া	64	22080
346	কলিকাতায়	64	22144
347	অ্যাভিনিউ	64	22208
348	নতুন	64	22272
349	জানা	64	22336
350	৪৫	63	22050
351	৪৮	63	22113
352	আকাশি	63	22176
353	৩৬	63	22239
354	ছিল	63	22302
355	মুনস্টোন	62	22010
356	তাঁহারা	62	22072
357	নূতন	62	22134
358	কে	62	22196
359	চেষ্টা	61	21899
360	কলিকাতার	61	21960
361	হইলে	61	22021
362	রং	61	22082
363	হওয়ার	61	22143
364	এল	60	21840
365	অতিরিক্ত	60	21900
366	ধীরে	60	21960
367	মনে	60	22020
368	লিচু	60	22080
369	প্রথম	60	22140
370	অ্যাভিনিউয়ের	59	21830
371	দাবী	59	21889
372	অগস্ট	59	21948
373	দল	57	21261
374	বজায়	57	21318
375	ডি	56	21000
376	কোথাও	55	20680
377	দেখা	55	20735
378	উহা	55	20790
379	সৃষ্টি	55	20845
380	প্রস্তাব	55	20900
381	অনেক	54	20574
382	হিমসাগর	54	20628
383	সামগ্রিক	54	20682
384	শিক্ষা	54	20736
385	তাহারা	54	20790
386	থাকে	54	20844
387	গড়িয়াহাটের	53	20511
388	হয়েছে	53	20564
389	কারণ	53	20617
390	একাধিক	52	20280
391	ঢ্যাঁড়স	52	20332
392	সেই	52	20384
393	কারণে	52	20436
394	খুলে	52	20488
395	বিলম্ব	52	20540
396	চৌধুরী	51	20196
397	যাবতীয়	51	20247
398	পরীক্ষার	51	20298
399	যাবে	51	20349
400	৪৫০	50	20000
401	ঘোষ	50	20050
402	আমাদের	50	20100
403	সভায়	50	20150
404	১৯৫৪	50	20200
405	সন্তানের	49	19845
406	উড়ালপুল	49	19894
407	যোগ	49	19943
408	এস	49	19992
409	করিয়াছে	49	20041
410	রাস্তায়	49	20090
411	বিন	48	19728
412	মৌরলা	48	19776
413	খান	48	19824
414	সম্প্রীতি	48	19872
415	খেলায়	48	19920
416	থাকতে	47	19552
417	বেকবাগান	47	19599
418	ছাই	47	19646
419	অংশ	47	19693
420	কিছু	47	19740
421	বিশেষ	47	19787
422	১৪	47	19834
423	ধূসর	47	19881
424	গিয়াছে	47	19928
425	সম্বন্ধে	47	19975
426	কি	47	20022
427	গোলাপি	46	19642
428	দুই	46	19688
429	২১০	46	19734
430	টি	46	19780
431	স্কুল	45	19395
432	গোলাপখাস	45	19440
433	উপায়ে	45	19485
434	পাওয়া	45	19530
435	আমরা	45	19575
436	যদি	45	19620
437	মুখ্যমন্ত্রী	45	19665
438	পুরসভার	45	19710
439	বিরুদ্ধে	45	19755
440	কংগ্রেস	45	19800
441	তাই	45	19845
442	পড়ে	45	19890
443	লালাভ	45	19935
444	উহার	45	19980
445	দিয়া	45	20025
446	অশান্তি	44	19624
447	নির্দিষ্ট	44	19668
448	গাঢ়	44	19712
449	৩৭০	44	19756
450	হচ্ছে	44	19800
451	চিত্তরঞ্জন	44	19844
452	মোহনবাগান	44	19888
